Line Item,2022,2021,Category,Confidence
Assets Liabilities Assets Liabilities June,30.0,0.0,Other,0.4
June,30.0,0.0,Other,0.4
Designated as Hedging Instruments Foreign exchange contracts,77.0,8.0,Other,0.4
Interest rate contracts Not Designated as Hedging Instruments Foreign exchange contracts,362.0,291.0,Other,0.4
Other contracts,112.0,36.0,Other,0.4
Gross amounts of derivatives,551.0,335.0,Other,0.4
Gross amounts of derivatives offset in the balance sheet,130.0,141.0,Other,0.4
Cash collateral received,0.0,75.0,Other,0.4
Net amounts of derivatives,493.0,235.0,Net Income,0.4
term assets Other current liabilities,298.0,182.0,Other,0.4
term liabilities,195.0,53.0,Other,0.4
as of June,30.0,2021.0,Other,0.4
