0,1,2,3,4,5
"(In millions, except percentages and per share",nan,Three Months Ended,Percentage,Nine Months Ended,Percentage
amounts),nan,"March 31,",Change,"March 31,",Change
nan,nan,2023  2022,nan,2023  2022,nan
Revenue,$,"52,857  $ 49,360",7%,"$ 155,726  $ 146,405",6%
Gross margin,nan,"36,729  33,745",9%,"106,658  100,184",6%
Operating income,nan,"22,352  20,364",10%,"64,269  62,849",2%
Net income,nan,"18,299  16,728",9%,"52,280  55,998",(7)%
Diluted earnings per share,nan,2.45  2.22,10%,6.99  7.41,(6)%
Adjusted gross margin (non-GAAP),nan,"36,729  33,745",9%,"106,810  100,184",7%
Adjusted operating income (non-,nan,nan,nan,nan,nan
GAAP),nan,"22,352  20,364",10%,"65,440 62,849",4%
Adjusted net income (non-GAAP),nan,"18,299  16,728",9%,"53,226  52,707",1%
Adjusted diluted earnings per share,nan,nan,nan,nan,nan
(non-GAAP),nan,2.45  2.22,10%,7.12 6.98,2%
